Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,11P,3,1,#06: desear,148807,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,0.27181255241778574,-0.26892383856272,-0.9427037084636487,NA,NA,0.3312112516812171,0.0039941115083874075
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,18P,28,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,0.27181255241778574,-0.26892383856272,-0.9427037084636487,NA,NA,-1.0582173980670448,0.0039941115083874075
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,18P,23,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,-1.320999244874229,0.5315936343681674,-0.9427037084636487,NA,NA,-1.0582173980670448,-0.5537290954810046
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,B,11P,48,1,#06: desear,148807,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,42,NA,0.676414020238616,0.682017486414208,0.41044579556171007,-1.320999244874229,0.5315936343681674,-0.9427037084636487,NA,NA,0.3312112516812171,-0.5537290954810046
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,18P,23,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,32,NA,-0.8532855308310456,-0.44586672884443057,-1.0570698980667506,-0.19666150560927745,1.3321111072990548,-0.9427037084636487,NA,NA,-1.0582173980670448,1.1194405254871713
SBC03,8,Female,Comparison,Comparison,55,2,0,15,34,40,10,49,Advanced,Native Range,16,16,B,11P,48,1,#06: desear,148807,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,32,NA,-0.8532855308310456,-0.44586672884443057,-1.0570698980667506,-0.19666150560927745,1.3321111072990548,-0.9427037084636487,NA,NA,0.3312112516812171,1.1194405254871713
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,A,11P,3,1,#06: desear,148807,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,48,NA,1.594233750880413,1.584324858621119,0.9974520730130944,-0.6651355636363406,2.1326285802299423,-0.9427037084636487,NA,NA,0.3312112516812171,0.28285571500308343
SBC04,5,Female,Comparison,Comparison,30,2,0,10,28,40,10,50,Advanced,Native Range,25,23,A,18P,28,NA,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,48,NA,1.594233750880413,1.584324858621119,0.9974520730130944,-0.6651355636363406,2.1326285802299423,-0.9427037084636487,NA,NA,-1.0582173980670448,0.28285571500308343
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,B,18P,23,1,#06: desear,148807,NA,NA,Regular,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,32,NA,-0.8532855308310456,-2.2504814732582523,1.2909552117387864,2.0520139729206255,-1.8699587844244947,-0.9427037084636487,NA,NA,-1.0582173980670448,1.8165945342239114
SBC05,13,Female,Comparison,Comparison,41,2,0,39,39,40,10,45,Advanced,Native Range,8,24,B,11P,48,1,#06: desear,148807,NA,NA,Regular,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,32,NA,-0.8532855308310456,-2.2504814732582523,1.2909552117387864,2.0520139729206255,-1.8699587844244947,-0.9427037084636487,NA,NA,0.3312112516812171,1.8165945342239114
