Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,21P,2,NA,#08: amar,amar,65158,NA,NA,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,42,NA,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.7035384519528927,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,31P,5,NA,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,42,-34938,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5807009486907089,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,26P,7,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,3136079,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.2584475576980563,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,36P,10,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,42,-264072,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.349329529982588,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,22P,12,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,42,9386,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.6996515610378375,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,32P,15,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,42,9386,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.6996515610378375,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,27P,17,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,1306223,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.903098620208175,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,37P,20,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,42,-4995,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.706565196893773,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,23P,22,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,42,-95053,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5658669093571781,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,33P,25,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,42,-11415,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.6732390498476261,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,28P,27,NA,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,42,-4995,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.706565196893773,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,38P,30,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,42,37118,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5818893828527504,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,24P,32,NA,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,42,-34938,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5807009486907089,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,34P,35,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,42,-95053,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,-0.5658669093571781,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,29P,37,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,42,-264072,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.349329529982588,NA,NA,NA,-0.060601101349574936
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,39P,40,NA,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,42,1306223,0.6077617804701093,0.6101723224175408,0.3832114278879238,0.26759823701805513,-0.377176225075103,1.903098620208175,NA,NA,NA,-0.060601101349574936
