Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,40C,2,1,#10: excluir,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,-4995,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6616748472903697,-0.36258870915607044,-0.6445988395922904,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,30C,4,1,#03: haber,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,3136079,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,1.3662202718127885,3.1015367772754416,0.8668691434272963,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,35C,7,1,#04: vivir,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-95053,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.5164740744735541,-0.46190894581940567,-0.3178985530214777,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,25C,9,0,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,9386,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6545399682038366,-0.34672865981614037,-0.6460774258501775,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,39C,12,0,#06: creer,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,37118,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.5330092830729405,-0.31614449402134576,-0.604674020566126,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,29C,14,1,#02: tener,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,-264072,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,1.4600105576924103,-0.6483111208688211,2.4279960962567717,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,34C,17,0,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,9386,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6545399682038366,-0.34672865981614037,-0.6460774258501775,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,24C,19,0,#09: doler,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-5228,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6573628061279346,-0.36284567261453676,-0.6369607231195447,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,23C,22,0,#07: faltar,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-11415,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6272822303592732,-0.3696689898571588,-0.5546009270015004,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,33C,25,1,#07: faltar,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-11415,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6272822303592732,-0.3696689898571588,-0.5546009270015004,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,28C,27,0,#06: creer,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,37118,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.5330092830729405,-0.31614449402134576,-0.604674020566126,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,38C,30,1,#03: haber,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,3136079,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,1.3662202718127885,3.1015367772754416,0.8668691434272963,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,24C,32,0,#09: doler,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-5228,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6573628061279346,-0.36284567261453676,-0.6369607231195447,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,34C,35,0,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,9386,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6545399682038366,-0.34672865981614037,-0.6460774258501775,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,29C,37,0,#02: tener,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,-264072,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,1.4600105576924103,-0.6483111208688211,2.4279960962567717,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,39C,40,0,#06: creer,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,37118,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.5330092830729405,-0.31614449402134576,-0.604674020566126,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,25C,42,0,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,9386,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.6545399682038366,-0.34672865981614037,-0.6460774258501775,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,35C,45,0,#04: vivir,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-95053,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,-0.5164740744735541,-0.46190894581940567,-0.3178985530214777,NA,-0.0380624931022601
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,A,30C,47,1,#03: haber,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,APST,Comprehension,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,3136079,0.7951026505413151,0.7950584971637048,0.47033192663492585,0.20151371539334548,-0.23964571752916888,1.3662202718127885,3.1015367772754416,0.8668691434272963,NA,-0.0380624931022601
