Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,Token_Differential,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Lemma_Std,Token_Differential_Std,Token_Pret_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,21,2,1,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,42,-5228,0.765855004889626,NA,-0.14610323010171386,-0.7396250485533349,-0.4052049941105287,-0.7107284866052181,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,31,5,1,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,42,-34938,0.765855004889626,NA,-0.14610323010171386,-0.6196045489402127,-0.43481598952872746,-0.5944648935750555,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,26,7,1,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,42,3136079,0.765855004889626,NA,-0.14610323010171386,1.1943729978202846,2.7256340225221107,0.7039398769108349,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,38,10,1,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,42,-4995,0.765855004889626,NA,-0.14610323010171386,-0.7437461935040619,-0.4049727705517121,-0.7179137420461518,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,22,12,1,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,42,9386,0.765855004889626,NA,-0.14610323010171386,-0.7369271790712524,-0.3906396933013211,-0.7193046634850014,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,32,15,1,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,42,9386,0.765855004889626,NA,-0.14610323010171386,-0.7369271790712524,-0.3906396933013211,-0.7193046634850014,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,27,17,1,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,42,1306223,0.765855004889626,NA,-0.14610323010171386,1.8302012350868762,0.9018757716987003,0.9231344691993749,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,37,20,1,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,42,-264072,0.765855004889626,NA,-0.14610323010171386,1.284011140991852,-0.663186431270685,2.1725082041720007,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,23,22,1,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,42,-95053,0.765855004889626,NA,-0.14610323010171386,-0.6049735312788803,-0.4947306643710371,-0.41058339168902147,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,33,25,1,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,42,-11415,0.765855004889626,NA,-0.14610323010171386,-0.7108761548683834,-0.4113713767645979,-0.6332517715953155,0.48297797198167647
SBC01,14,Male,Comparison,Comparison,01,29,0,NA,26,40,7,47,21,21,A,28,27,1,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,42,-4995,0.765855004889626,NA,-0.14610323010171386,-0.7437461935040619,-0.4049727705517121,-0.7179137420461518,0.48297797198167647
