Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,LOR_Std,DELE_Std
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,1,1,1,esperar,1409514,NA,NA,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],01,42,0.6930874030240756,1.8232572826095066,0.9323614088620102,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,11,3,1,desear,148807,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F],01,42,0.6930874030240756,-0.7548944700832356,0.38465323533522366,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,6,6,1,querer,1263949,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,B,[+F/–F],01,42,0.6930874030240756,1.5255761720257477,-0.9961448898460377,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,16,8,1,sugerir,88224,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],01,42,0.6930874030240756,-0.8787869904177656,-0.8519867089026583,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,2,11,1,pedir,432187,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],01,42,0.6930874030240756,-0.1753810354167594,1.6564851004439285,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,12,13,1,sugerir,88224,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,C,[–F/+F],01,42,0.6930874030240756,-0.8787869904177656,0.9323614088620102,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,7,16,1,pedir,432187,NA,NA,0,Canonical,bailar,29935,Mood,Subjunctive,B,[+F/–F],01,42,0.6930874030240756,-0.1753810354167594,-0.9910865561885636,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,17,18,1,conseguir,129144,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],01,42,0.6930874030240756,-0.7951053976922656,-1.03165421898972,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,3,21,1,permitir,935997,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],01,42,0.6930874030240756,0.8549127874335384,1.134360033709592,0.3673920079686824,-0.2794188009246368
SBC01,14,Male,Comparison,NA,29,0,NA,26,40,7,47,21,21,A,13,23,0,valorar,113028,NA,NA,1,Canonical,quedar,947469,Mood,Subjunctive,C,[–F/+F],01,42,0.6930874030240756,-0.828062693595593,1.6564851004439285,0.3673920079686824,-0.2794188009246368
