Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,40,2,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,30,4,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,35,7,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,25,9,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,39,12,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,29,14,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,34,17,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,24,19,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,23,22,0,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,33,25,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,28,27,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,38,30,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,24,32,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,34,35,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,29,37,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,39,40,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,25,42,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,35,45,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,30,47,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,40,50,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,21,2,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,31,5,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,G,Regular stative with entre
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,26,7,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
