Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,20,3,1,valorar,113028,,,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,10,5,1,pedir,432187,,,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,15,8,1,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,5,10,1,esperar,1409514,,,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,19,13,1,ordenar,65158,,,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,9,15,1,necesitar,593469,,,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,14,18,0,conseguir,129144,,,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,4,20,1,querer,1263949,,,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,3,21,0,necesitar,593469,,,1,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,13,23,1,valorar,113028,,,1,Canonical,bailar,29935,Mood,Subjunctive,C,[–F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,8,26,0,permitir,935997,,,0,Canonical,quedar,947469,Mood,Subjunctive,B,[+F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,18,28,1,sugerir,88224,,,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,4,31,0,querer,1263949,,,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,14,33,0,conseguir,129144,,,0,Canonical,viajar,78141,Mood,Subjunctive,C,[–F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,9,36,0,necesitar,593469,,,1,Canonical,enviar,766523,Mood,Subjunctive,B,[+F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,19,38,0,ordenar,65158,,,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,5,41,1,esperar,1409514,,,1,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,15,43,1,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,C,[–F/+F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,10,46,0,pedir,432187,,,0,Canonical,tratar,590952,Mood,Subjunctive,B,[+F/–F]
SBC01,14,Male,Comparison,,29,0,,26,40,7,47,21,21,A,20,48,1,valorar,113028,,,1,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F]
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,1,1,1,permitir,935997,,,0,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F]
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,11,3,1,sugerir,88224,,,0,Canonical,prestar,73724,Mood,Subjunctive,C,[–F/+F]
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,6,6,1,querer,1263949,,,0,Canonical,dejar,696519,Mood,Subjunctive,B,[+F/–F]
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,16,8,1,desear,148807,,,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F]
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,2,11,1,pedir,432187,,,0,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F]
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,12,13,1,ordenar,65158,,,1,Canonical,atar,15876,Mood,Subjunctive,C,[–F/+F]
SBC02,4,Female,Comparison,,28,0,3,22,40,7,48,21,21,B,7,16,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F]
