Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,LF,FofA_Std,LF_Main_Std,LF_Sub_Std,LF_Std,LOR_Std,DELE_Std
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,20,3,1,ordenar,65158,1,Canonical,NA,bailar,29935,Mood,Subjunctive,D,[–F/–F],01,23,95093,-0.8845315970638796,-0.9278187823738246,-0.9909422442341848,-1.3528631105963926,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,10,5,1,esperar,1409514,1,Canonical,NA,atar,15876,Mood,Subjunctive,B,[+F/–F],01,23,1425390,-0.8845315970638796,1.825956883251257,-1.0316373699964445,0.9100951830376454,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,15,8,1,conseguir,129144,0,Canonical,NA,enviar,766523,Mood,Subjunctive,C,[–F/+F],01,23,895667,-0.8845315970638796,-0.7967500106045265,1.1411824655582157,0.008987343075062946,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,5,10,1,necesitar,593469,1,Canonical,NA,tomar,506707,Mood,Subjunctive,A,[+F/+F],01,23,1100176,-0.8845315970638796,0.1543722263188524,0.3891201001661345,0.35687607594659726,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,19,13,0,valorar,113028,1,Canonical,NA,prestar,73724,Mood,Subjunctive,D,[–F/–F],01,23,186752,-0.8845315970638796,-0.8297619870655337,-0.8641907781268093,-1.1969426700961117,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,9,15,0,necesitar,593469,1,Canonical,NA,prestar,73724,Mood,Subjunctive,B,[+F/–F],01,23,667193,-0.8845315970638796,0.1543722263188524,-0.8641907781268093,-0.3796680723545315,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,14,18,1,ordenar,65158,1,Canonical,NA,tratar,590952,Mood,Subjunctive,C,[–F/+F],01,23,656110,-0.8845315970638796,-0.9278187823738246,0.6329753437710545,-0.3985212808999511,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,4,20,1,querer,1263949,0,Canonical,NA,tratar,590952,Mood,Subjunctive,A,[+F/+F],01,23,1854901,-0.8845315970638796,1.5277818799286884,0.6329753437710545,1.640733138063515,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,18,23,1,desear,148807,1,Canonical,NA,robar,28182,Mood,Subjunctive,D,[–F/–F],01,23,176989,-0.8845315970638796,-0.7564723676935818,-0.996016471096781,-1.2135504364977117,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,8,25,1,permitir,935997,0,Canonical,NA,viajar,78141,Mood,Subjunctive,B,[+F/–F],01,23,1014138,-0.8845315970638796,0.8560057751669462,-0.8514053474068505,0.21051747657541522,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,13,28,1,valorar,113028,1,Canonical,NA,quedar,947469,Mood,Subjunctive,C,[–F/+F],01,23,1060497,-0.8845315970638796,-0.8297619870655337,1.6649480410741022,0.2893784253218834,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,3,30,1,permitir,935997,0,Canonical,NA,enviar,766523,Mood,Subjunctive,A,[+F/+F],01,23,1702520,-0.8845315970638796,0.8560057751669462,1.1411824655582157,1.3815189567624608,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,17,33,1,conseguir,129144,0,Canonical,NA,atar,15876,Mood,Subjunctive,D,[–F/–F],01,23,145020,-0.8845315970638796,-0.7967500106045265,-1.0316373699964445,-1.2679326636914785,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,7,35,1,pedir,432187,0,Canonical,NA,bailar,29935,Mood,Subjunctive,B,[+F/–F],01,23,462122,-0.8845315970638796,-0.17599744280401716,-0.9909422442341848,-0.7285128192297224,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,12,38,1,sugerir,88224,0,Canonical,NA,dejar,696519,Mood,Subjunctive,C,[–F/+F],01,23,784743,-0.8845315970638796,-0.8805704422739492,0.9385491641953003,-0.17970464507725345,-0.5714376144571932,0.6405534126992202
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,2,40,1,pedir,432187,0,Canonical,NA,quedar,947469,Mood,Subjunctive,A,[+F/+F],01,23,1379656,-0.8845315970638796,-0.17599744280401716,1.6649480410741022,0.8322974171244252,-0.5714376144571932,0.6405534126992202
