Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,Token_Differential,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Lemma_Std,Token_Differential_Std,Token_Pret_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,40,2,1,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,23,3136079,-0.6195225750729476,-1.1048298408029296,1.210823390766473,1.1853140881011042,2.7285759351299097,0.6877245428967208,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,30,4,1,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,23,37118,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.6282305572821627,-0.3622352852921999,-0.6869808390966665,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,35,7,1,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,23,-5228,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.7469737946600679,-0.40446992197849396,-0.7171428519094981,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,25,9,1,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,23,-11415,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.7182503225684682,-0.41064065114247883,-0.6402029035928617,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,39,12,0,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,23,1306223,-0.6195225750729476,-1.1048298408029296,1.210823390766473,1.8205800857536594,0.903532168345907,0.9054005323835091,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,29,14,1,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,23,-264072,-0.6195225750729476,-1.1048298408029296,1.210823390766473,1.2748729675469266,-0.6626332030068581,2.1461184769255626,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,34,17,0,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,23,-95053,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.6124413447888278,-0.4940586963691417,-0.4190771932481509,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,24,19,0,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,23,-34938,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.6270594247773096,-0.43410178935557325,-0.6016847450743822,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,38,22,0,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,23,37118,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.6282305572821627,-0.3622352852921999,-0.6869808390966665,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,28,24,0,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,23,-4995,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.75109129543331,-0.4042375347318141,-0.7242783271577272,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,33,27,0,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,23,-11415,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.7182503225684682,-0.41064065114247883,-0.6402029035928617,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,23,29,1,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,23,-95053,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.6124413447888278,-0.4940586963691417,-0.4190771932481509,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,37,32,1,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,23,-264072,-0.6195225750729476,-1.1048298408029296,1.210823390766473,1.2748729675469266,-0.6626332030068581,2.1461184769255626,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,27,34,0,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,F,Irregular stative with durante,23,1306223,-0.6195225750729476,-1.1048298408029296,1.210823390766473,1.8205800857536594,0.903532168345907,0.9054005323835091,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,32,37,1,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,G,Regular stative with entre,23,9386,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.7442783108051209,-0.38989435449789367,-0.7256596121490169,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,22,39,0,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,E,Regular stative with durante,23,9386,-0.6195225750729476,-1.1048298408029296,1.210823390766473,-0.7442783108051209,-0.38989435449789367,-0.7256596121490169,-0.3572892507728374
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,36,42,0,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,H,Irregular stative with entre,23,-264072,-0.6195225750729476,-1.1048298408029296,1.210823390766473,1.2748729675469266,-0.6626332030068581,2.1461184769255626,-0.3572892507728374
