Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std,DELE_Std
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,20,3,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],01,23,-0.7215239237320722,-0.9277534897785865,-0.9903164814892014,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,10,5,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],01,23,-0.7215239237320722,1.8255764614163232,-1.0310208234708143,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,15,8,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F],01,23,-0.7215239237320722,-0.796705932243858,1.142291090283485,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,5,10,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],01,23,-0.7215239237320722,0.15426236007497454,0.39005840543429904,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,19,13,0,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],01,23,-0.7215239237320722,-0.8297125655266024,-0.8635363099952941,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,9,15,0,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,[+F/–F],01,23,-0.7215239237320722,0.15426236007497454,-0.8635363099952941,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,14,18,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,[–F/+F],01,23,-0.7215239237320722,-0.9277534897785865,0.6339688749016131,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,4,20,1,querer,1263949,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],01,23,-0.7215239237320722,1.5274497194330339,0.6339688749016131,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,18,23,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],01,23,-0.7215239237320722,-0.7564348085010805,-0.9953918575112348,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,8,25,1,permitir,935997,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,B,[+F/–F],01,23,-0.7215239237320722,0.8557823454976528,-0.8507479837606555,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,13,28,1,valorar,113028,NA,NA,1,Canonical,quedar,947469,Mood,Subjunctive,C,[–F/+F],01,23,-0.7215239237320722,-0.8297125655266024,1.666175282914889,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,3,30,1,permitir,935997,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],01,23,-0.7215239237320722,0.8557823454976528,1.142291090283485,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,17,33,1,conseguir,129144,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],01,23,-0.7215239237320722,-0.796705932243858,-1.0310208234708143,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,7,35,1,pedir,432187,NA,NA,0,Canonical,bailar,29935,Mood,Subjunctive,B,[+F/–F],01,23,-0.7215239237320722,-0.17605383681678438,-0.9903164814892014,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,12,38,1,sugerir,88224,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,C,[–F/+F],01,23,-0.7215239237320722,-0.8805127970943111,0.9396118985855819,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,2,40,1,pedir,432187,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],01,23,-0.7215239237320722,-0.17605383681678438,1.666175282914889,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,16,43,1,sugerir,88224,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],01,23,-0.7215239237320722,-0.8805127970943111,-0.8507479837606555,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,6,45,1,querer,1263949,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,B,[+F/–F],01,23,-0.7215239237320722,1.5274497194330339,-0.9953918575112348,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,11,48,1,desear,148807,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F],01,23,-0.7215239237320722,-0.7564348085010805,0.39005840543429904,NA,-0.3779292694169192,1.1953916654291386
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,1,50,1,esperar,1409514,NA,NA,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],01,23,-0.7215239237320722,1.8255764614163232,0.9396118985855819,NA,-0.3779292694169192,1.1953916654291386
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,20,3,0,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],02,25,-0.44646784230934855,-0.9277534897785865,-0.9903164814892014,NA,-0.5008788752075396,-0.07356256402640819
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,10,5,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],02,25,-0.44646784230934855,1.8255764614163232,-1.0310208234708143,NA,-0.5008788752075396,-0.07356256402640819
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,15,8,0,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F],02,25,-0.44646784230934855,-0.796705932243858,1.142291090283485,NA,-0.5008788752075396,-0.07356256402640819
