Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,Token_Differential,FofA_Std,Token_Lemma_Std,Token_Differential_Std,Token_Pret_Std,Type_Std,LOR_Std,DELE_Std
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,40,2,1,haber,7679109,1017563,4153642,0,Canonical,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,3136079,-0.6367462048755219,1.1869881329384067,2.7286001425539883,0.6904453559425229,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,30,4,1,creer,537246,33274,70392,0,Canonical,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,37118,-0.6367462048755219,-0.6271391171732732,-0.36242529450056393,-0.6860325503201783,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,35,7,1,doler,69627,11678,6450,1,DativeExp,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-5228,-0.6367462048755219,-0.745920501046077,-0.4046628583671347,-0.7162334535748619,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,25,9,1,faltar,182742,66767,55352,1,DativeExp,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-11415,-0.6367462048755219,-0.7171878014834583,-0.41083401520939783,-0.6391943000558182,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,39,12,0,estar,10180830,1173419,2479642,0,Canonical,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,1306223,-0.6367462048755219,1.8224582110226044,0.9034298864110764,0.9084020135486524,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,29,14,1,tener,8031798,2061773,1797701,0,Canonical,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,-264072,-0.6367462048755219,1.27657578334764,-0.6628440320666258,2.150719720990365,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,34,17,0,vivir,599425,225093,130040,1,Canonical,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-95053,-0.6367462048755219,-0.6113448323648564,-0.49425784193853983,-0.41778347357401424,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,24,19,0,gustar,541858,94346,59408,1,DativeExp,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-34938,-0.6367462048755219,-0.6259676084398356,-0.4342967794571035,-0.600626476807952,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,38,22,0,creer,537246,33274,70392,0,Canonical,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,37118,-0.6367462048755219,-0.6271391171732732,-0.36242529450056393,-0.6860325503201783,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,28,24,0,excluir,53412,6569,1574,0,Canonical,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,-4995,-0.6367462048755219,-0.7500393245744141,-0.40443045501425817,-0.723378129196652,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,33,27,0,faltar,182742,66767,55352,1,DativeExp,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-11415,-0.6367462048755219,-0.7171878014834583,-0.41083401520939783,-0.6391943000558182,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,23,29,1,vivir,599425,225093,130040,1,Canonical,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-95053,-0.6367462048755219,-0.6113448323648564,-0.49425784193853983,-0.41778347357401424,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,37,32,1,tener,8031798,2061773,1797701,0,Canonical,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,-264072,-0.6367462048755219,1.27657578334764,-0.6628440320666258,2.150719720990365,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,27,34,0,estar,10180830,1173419,2479642,0,Canonical,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,1306223,-0.6367462048755219,1.8224582110226044,0.9034298864110764,0.9084020135486524,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,32,37,1,amar,80242,5580,14966,1,Canonical,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,9386,-0.6367462048755219,-0.743224151261723,-0.39008628068928874,-0.7247611951958594,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,22,39,0,amar,80242,5580,14966,1,Canonical,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,9386,-0.6367462048755219,-0.743224151261723,-0.39008628068928874,-0.7247611951958594,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,36,42,0,tener,8031798,2061773,1797701,0,Canonical,NA,NA,Aspect,Preterit,H,Irregular stative with entre,01,23,-264072,-0.6367462048755219,1.27657578334764,-0.6628440320666258,2.150719720990365,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,26,44,1,haber,7679109,1017563,4153642,0,Canonical,NA,NA,Aspect,Preterit,F,Irregular stative with durante,01,23,3136079,-0.6367462048755219,1.1869881329384067,2.7286001425539883,0.6904453559425229,-0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,31,47,0,gustar,541858,94346,59408,1,DativeExp,NA,NA,Aspect,Preterit,G,Regular stative with entre,01,23,-34938,-0.6367462048755219,-0.6259676084398356,-0.4342967794571035,-0.600626476807952,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,21,49,1,doler,69627,11678,6450,1,DativeExp,NA,NA,Aspect,Preterit,E,Regular stative with durante,01,23,-5228,-0.6367462048755219,-0.745920501046077,-0.4046628583671347,-0.7162334535748619,0.9993053142614179,-0.36687123852497133,1.1829743698966777
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,40,2,1,haber,7679109,1017563,4153642,0,Canonical,NA,NA,Aspect,Preterit,H,Irregular stative with entre,02,25,3136079,-0.3717420040024724,1.1869881329384067,2.7286001425539883,0.6904453559425229,-0.9993053142614179,-0.49200259664543755,-0.10198054912902425
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,30,4,1,creer,537246,33274,70392,0,Canonical,NA,NA,Aspect,Preterit,F,Irregular stative with durante,02,25,37118,-0.3717420040024724,-0.6271391171732732,-0.36242529450056393,-0.6860325503201783,-0.9993053142614179,-0.49200259664543755,-0.10198054912902425
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,35,7,0,doler,69627,11678,6450,1,DativeExp,NA,NA,Aspect,Preterit,G,Regular stative with entre,02,25,-5228,-0.3717420040024724,-0.745920501046077,-0.4046628583671347,-0.7162334535748619,0.9993053142614179,-0.49200259664543755,-0.10198054912902425
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,25,9,1,faltar,182742,66767,55352,1,DativeExp,NA,NA,Aspect,Preterit,E,Regular stative with durante,02,25,-11415,-0.3717420040024724,-0.7171878014834583,-0.41083401520939783,-0.6391943000558182,0.9993053142614179,-0.49200259664543755,-0.10198054912902425
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,39,12,1,estar,10180830,1173419,2479642,0,Canonical,NA,NA,Aspect,Preterit,H,Irregular stative with entre,02,25,1306223,-0.3717420040024724,1.8224582110226044,0.9034298864110764,0.9084020135486524,-0.9993053142614179,-0.49200259664543755,-0.10198054912902425
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,29,14,1,tener,8031798,2061773,1797701,0,Canonical,NA,NA,Aspect,Preterit,F,Irregular stative with durante,02,25,-264072,-0.3717420040024724,1.27657578334764,-0.6628440320666258,2.150719720990365,-0.9993053142614179,-0.49200259664543755,-0.10198054912902425
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,34,17,1,vivir,599425,225093,130040,1,Canonical,NA,NA,Aspect,Preterit,G,Regular stative with entre,02,25,-95053,-0.3717420040024724,-0.6113448323648564,-0.49425784193853983,-0.41778347357401424,0.9993053142614179,-0.49200259664543755,-0.10198054912902425
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,24,19,1,gustar,541858,94346,59408,1,DativeExp,NA,NA,Aspect,Preterit,E,Regular stative with durante,02,25,-34938,-0.3717420040024724,-0.6259676084398356,-0.4342967794571035,-0.600626476807952,0.9993053142614179,-0.49200259664543755,-0.10198054912902425
