Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Main_Lemma_Std,Token_Sub_Std,Token_Pret_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,20,3,1,ordenar,65158,NA,NA,Regular,Canonical,bailar,29935,Mood,Subjunctive,EMPT,D,[–F/–F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,-0.9277623816177957,-0.9904016428376602,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,10,5,1,esperar,1409514,NA,NA,Regular,Canonical,atar,15876,Mood,Subjunctive,EMPT,B,[+F/–F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,1.8256282555442962,-1.0311047276025946,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,15,8,1,conseguir,129144,NA,NA,Irregular,Canonical,enviar,766523,Mood,Subjunctive,EMPT,C,[–F/+F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,-0.7967119356723366,1.1421400600454394,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,5,10,1,necesitar,593469,NA,NA,Regular,Canonical,tomar,506707,Mood,Subjunctive,EMPT,A,[+F/+F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,0.15427731687705384,0.3899306090684002,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,19,13,0,valorar,113028,NA,NA,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,D,[–F/–F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,-0.829719296452148,-0.8636253871458107,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,9,15,0,necesitar,593469,NA,NA,Regular,Canonical,prestar,73724,Mood,Subjunctive,EMPT,B,[+F/–F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,0.15427731687705384,-0.8636253871458107,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,14,18,1,ordenar,65158,NA,NA,Regular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,C,[–F/+F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,-0.9277623816177957,0.6338335449828961,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,4,20,1,querer,1263949,NA,NA,Irregular,Canonical,tratar,590952,Mood,Subjunctive,EMPT,A,[+F/+F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,1.5274949425687898,0.6338335449828961,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,18,23,1,desear,148807,NA,NA,Regular,Canonical,robar,28182,Mood,Subjunctive,EMPT,D,[–F/–F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,-0.756439924316328,-0.9954768620988402,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,8,25,1,permitir,935997,NA,NA,Irregular,Canonical,viajar,78141,Mood,Subjunctive,EMPT,B,[+F/–F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,0.8558127644563089,-0.850837455898445,NA,-0.3677635486577243
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,13,28,1,valorar,113028,NA,NA,Regular,Canonical,quedar,947469,Mood,Subjunctive,EMPT,C,[–F/+F],23,-0.700123637983043,-1.0948669327180587,1.2244714988500527,-0.829719296452148,1.6660080717017323,NA,-0.3677635486577243
