Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,21,2,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,26,7,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,37,10,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,22,12,0,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,27,17,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,36,20,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,23,22,0,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,28,27,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,38,30,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,24,32,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,29,37,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,39,40,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,25,42,0,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,35,45,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,G,Regular stative with entre
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,30,47,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,40,50,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,21,2,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,26,7,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,37,10,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,22,12,1,gustar,541858,94346,59408,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,27,17,1,estar,10180830,1173419,2479642,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,36,20,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,23,22,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,28,27,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,38,30,1,gustar,541858,94346,59408,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,24,32,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,E,Regular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,29,37,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,F,Irregular stative with durante
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,39,40,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,H,Irregular stative with entre
HSP02,53,Female,Heritage,Simultaneous,20,0,0,0,32,3,38,12,13,B,25,42,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,E,Regular stative with durante
