Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition,FofA,Token_Differential,FofA_Std,AoA_ENG_Std,DELE_Std,Token_Lemma_Std,Token_Differential_Std,Token_Pret_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,21,2,1,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,APCT,E,Regular stative with durante,23,-95053,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.5045659457813638,-0.44678032812317037,-0.3136148047599824,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,26,7,1,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,F,Irregular stative with durante,23,-4995,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.6474005976805417,-0.3173951651550281,-0.6382877048653702,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,37,10,1,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,H,Irregular stative with entre,23,1306223,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,2.0018883838409023,1.5664147641878574,1.0953643127069412,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,22,12,0,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,APCT,E,Regular stative with durante,23,-34938,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.5196252253330961,-0.3604138856990673,-0.5078726788153682,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,27,17,1,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,F,Irregular stative with durante,23,1306223,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,2.0018883838409023,1.5664147641878574,1.0953643127069412,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,36,20,0,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,H,Irregular stative with entre,23,-264072,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,1.4397108575911717,-0.6896077377893015,2.415239793204377,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,23,22,0,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,APCT,E,Regular stative with durante,23,-11415,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.6135684260470445,-0.32661869606017224,-0.5488482874991123,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,28,27,1,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,F,Irregular stative with durante,23,37118,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.5208317046926699,-0.25689196312880747,-0.5986106451496668,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,38,30,1,gustar,541858,94346,59408,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,H,Irregular stative with entre,23,-34938,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.5196252253330961,-0.3604138856990673,-0.5078726788153682,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,24,32,1,doler,69627,11678,6450,Regular,DativeExp,NA,NA,Aspect,Preterit,APCT,E,Regular stative with durante,23,-5228,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.6431588234360729,-0.3177299132392802,-0.6306969878428078,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,29,37,0,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,F,Irregular stative with durante,23,-264072,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,1.4397108575911717,-0.6896077377893015,2.415239793204377,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,39,40,0,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,APCT,H,Irregular stative with entre,23,37118,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.5208317046926699,-0.25689196312880747,-0.5986106451496668,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,25,42,0,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,APCT,E,Regular stative with durante,23,9386,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.6403819851008871,-0.29673416859009377,-0.6397571155397319,-0.37038619614871887
HSP01,6,Male,Heritage,Simultaneous,01,31,0,0,0.25,34,4,45,10,13,B,35,45,0,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,APCT,G,Regular stative with entre,23,-95053,-0.6460294368319079,-1.1119849422352561,1.2165386511350145,-0.5045659457813638,-0.44678032812317037,-0.3136148047599824,-0.37038619614871887
