Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Verb_condition
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,1,1,1,permitir,935997,,,0,Canonical,tomar,506707,Mood,Subjunctive,A,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,11,3,0,sugerir,88224,,,0,Canonical,prestar,73724,Mood,Subjunctive,C,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,6,6,1,querer,1263949,,,0,Canonical,dejar,696519,Mood,Subjunctive,B,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,16,8,1,desear,148807,,,1,Canonical,bailar,29935,Mood,Subjunctive,D,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,2,11,1,pedir,432187,,,0,Canonical,dejar,696519,Mood,Subjunctive,A,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,12,13,0,ordenar,65158,,,1,Canonical,atar,15876,Mood,Subjunctive,C,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,7,16,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,B,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,17,18,1,conseguir,129144,,,0,Canonical,robar,28182,Mood,Subjunctive,D,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,3,21,1,necesitar,593469,,,1,Canonical,tratar,590952,Mood,Subjunctive,A,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,13,23,1,valorar,113028,,,1,Canonical,bailar,29935,Mood,Subjunctive,C,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,8,26,1,permitir,935997,,,0,Canonical,quedar,947469,Mood,Subjunctive,B,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,18,28,1,sugerir,88224,,,0,Canonical,atar,15876,Mood,Subjunctive,D,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,4,31,1,querer,1263949,,,0,Canonical,quedar,947469,Mood,Subjunctive,A,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,14,33,1,conseguir,129144,,,0,Canonical,viajar,78141,Mood,Subjunctive,C,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,9,36,1,necesitar,593469,,,1,Canonical,enviar,766523,Mood,Subjunctive,B,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,19,38,1,ordenar,65158,,,1,Canonical,prestar,73724,Mood,Subjunctive,D,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,5,41,1,esperar,1409514,,,1,Canonical,enviar,766523,Mood,Subjunctive,A,Frequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,15,43,1,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,C,Infrequent
HSP01,6,Male,Heritage,Simultaneous,31,0,0,0.25,34,4,45,10,13,B,10,46,0,pedir,432187,,,0,Canonical,tratar,590952,Mood,Subjunctive,B,Frequent
