Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,23,NA,-0.6765476095835766,-1.0499395519615957,-0.2989645780503386,-1.1237618130977916,1.0531795947278153,-0.9922775915887885,NA,NA,0.408905257224909,-0.3460066085133527
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,18P,23,NA,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,23,NA,-0.6765476095835766,-1.0499395519615957,-0.2989645780503386,-1.1237618130977916,1.0531795947278153,-0.9922775915887885,NA,NA,-1.0633736465946149,-0.3460066085133527
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,25,NA,-0.41463870037509326,-0.5144580136820067,-0.2989645780503386,-1.1237618130977916,-0.1908528883664986,-0.9922775915887885,NA,NA,0.408905257224909,-0.4654985128169201
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,25,NA,-0.41463870037509326,-0.5144580136820067,-0.2989645780503386,-1.1237618130977916,-0.1908528883664986,-0.9922775915887885,NA,NA,-1.0633736465946149,-0.4654985128169201
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,43,NA,1.9425414825012572,1.8952089085761432,1.8625659612115704,0.33163858093414395,0.16458496394616248,-0.9922775915887885,NA,NA,0.408905257224909,-0.4654985128169201
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,43,NA,1.9425414825012572,1.8952089085761432,1.8625659612115704,0.33163858093414395,0.16458496394616248,-0.9922775915887885,NA,NA,-1.0633736465946149,-0.4654985128169201
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,31,NA,0.3710880272503569,0.2887642937373766,0.42154560170363103,-1.1237618130977916,0.16458496394616248,-0.9922775915887885,NA,NA,0.408905257224909,-0.3077691991362111
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,18P,28,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,31,NA,0.3710880272503569,0.2887642937373766,0.42154560170363103,-1.1237618130977916,0.16458496394616248,-0.9922775915887885,NA,NA,-1.0633736465946149,-0.3077691991362111
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,11P,3,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,33,NA,0.6329969364588403,-0.5144580136820067,1.6223959012935805,-1.1237618130977916,0.16458496394616248,-0.9922775915887885,NA,NA,0.408905257224909,-0.4654985128169201
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,18P,28,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,33,NA,0.6329969364588403,-0.5144580136820067,1.6223959012935805,-1.1237618130977916,0.16458496394616248,-0.9922775915887885,NA,NA,-1.0633736465946149,-0.4654985128169201
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,40,NA,1.5496781186885322,1.6274681394363488,1.3822258413755906,-1.1237618130977916,1.7640552993531373,-0.9922775915887885,NA,NA,0.408905257224909,-0.4654985128169201
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,18P,28,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,40,NA,1.5496781186885322,1.6274681394363488,1.3822258413755906,-1.1237618130977916,1.7640552993531373,-0.9922775915887885,NA,NA,-1.0633736465946149,-0.4654985128169201
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,23,NA,-0.6765476095835766,-0.7821987828218012,-0.5391346379683285,2.2721724396433913,-0.01313396221016806,-0.9922775915887885,NA,NA,0.408905257224909,2.880274807682968
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,23,NA,-0.6765476095835766,-0.7821987828218012,-0.5391346379683285,2.2721724396433913,-0.01313396221016806,-0.9922775915887885,NA,NA,-1.0633736465946149,2.880274807682968
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,24,NA,-0.5455931549793349,-0.24671724454221233,-0.7793046978863184,1.3019055102887676,0.342303890102493,-0.9922775915887885,NA,NA,0.408905257224909,1.9243395732544286
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,18P,28,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,24,NA,-0.5455931549793349,-0.24671724454221233,-0.7793046978863184,1.3019055102887676,0.342303890102493,-0.9922775915887885,NA,NA,-1.0633736465946149,1.9243395732544286
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,23,NA,-0.6765476095835766,-0.5144580136820067,-0.7793046978863184,-1.1237618130977916,-1.6126042976171429,-0.9922775915887885,NA,NA,0.408905257224909,-0.26666398405578395
