Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,LOR_Std,DELE_Std
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,21,2,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.7272111425074158,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,31,5,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.6070987514624232,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,26,7,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,1.2082676329940492,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,38,10,0,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,-0.731335442735047,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,22,12,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.7245112074524478,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,32,15,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.7245112074524478,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,27,17,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,1.8445826801584029,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,37,20,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,1.297974405919307,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,23,22,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.5924565318383682,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,33,25,0,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.6984402377742357,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,28,27,0,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,-0.731335442735047,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,38,30,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,-0.6082718179224809,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,24,32,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.6070987514624232,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,34,35,0,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.5924565318383682,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,29,37,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,1.297974405919307,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,39,40,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,1.8445826801584029,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,25,42,0,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,14,-0.9452296004356529,-0.6984402377742357,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,35,45,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,14,-0.9452296004356529,-0.7272111425074158,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,30,47,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,14,-0.9452296004356529,-0.6082718179224809,-0.5753969085652074,-0.706507155164692
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,40,50,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,14,-0.9452296004356529,1.2082676329940492,-0.5753969085652074,-0.706507155164692
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,40,2,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.011689447099696918,1.2082676329940492,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,30,4,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,25,-0.011689447099696918,-0.6082718179224809,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,35,7,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,25,-0.011689447099696918,-0.7272111425074158,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,25,-0.011689447099696918,-0.6984402377742357,-0.5753969085652074,-1.9621900401842918
L2L02,40,Female,L2 Learner,NA,18,0,10,0,30,0,26,11,14,B,39,12,0,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,25,-0.011689447099696918,1.8445826801584029,-0.5753969085652074,-1.9621900401842918
