Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Condition_Exp
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,40,2,1,excluir,53412,6569,1574,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,30,4,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,35,7,0,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,25,9,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,39,12,0,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,29,14,0,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,34,17,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,24,19,0,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,23,22,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,33,25,1,faltar,182742,66767,55352,1,DativeExp,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,28,27,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,38,30,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,24,32,1,doler,69627,11678,6450,1,DativeExp,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,34,35,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,29,37,1,tener,8031798,2061773,1797701,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,39,40,1,creer,537246,33274,70392,0,Canonical,,,Aspect,Preterit,FCT,H,Irregular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,25,42,1,amar,80242,5580,14966,1,Canonical,,,Aspect,Preterit,FCT,E,Regular stative with durante
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,35,45,1,vivir,599425,225093,130040,1,Canonical,,,Aspect,Preterit,FCT,G,Regular stative with entre
L2L01,37,Female,L2 Learner,L2 Learner,20,10,0,0,35,3,35,7,7,A,30,47,1,haber,7679109,1017563,4153642,0,Canonical,,,Aspect,Preterit,FCT,F,Irregular stative with durante
