Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Group_No,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Condition,Verb_Condition
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,20,3,1,valorar,113028,,,1,Canonical,viajar,78141,Mood,Subjunctive,FCT,D,[–F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,10,5,1,pedir,432187,,,0,Canonical,tratar,590952,Mood,Subjunctive,FCT,B,[+F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,15,8,1,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,FCT,C,[–F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,5,10,1,esperar,1409514,,,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,A,[+F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,19,13,0,ordenar,65158,,,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,9,15,0,necesitar,593469,,,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,B,[+F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,14,18,1,conseguir,129144,,,0,Canonical,viajar,78141,Mood,Subjunctive,FCT,C,[–F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,4,20,0,querer,1263949,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,A,[+F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,3,21,1,necesitar,593469,,,1,Canonical,tratar,590952,Mood,Subjunctive,FCT,A,[+F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,13,23,1,valorar,113028,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,C,[–F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,8,26,1,permitir,935997,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,B,[+F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,18,28,1,sugerir,88224,,,0,Canonical,atar,15876,Mood,Subjunctive,FCT,D,[–F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,4,31,1,querer,1263949,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,A,[+F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,14,33,1,conseguir,129144,,,0,Canonical,viajar,78141,Mood,Subjunctive,FCT,C,[–F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,9,36,1,necesitar,593469,,,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,B,[+F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,19,38,1,ordenar,65158,,,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,5,41,1,esperar,1409514,,,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,A,[+F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,15,43,1,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,FCT,C,[–F/+F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,10,46,1,pedir,432187,,,0,Canonical,tratar,590952,Mood,Subjunctive,FCT,B,[+F/–F]
L2L01,37,Female,L2 Learner,L2 Learner,01,20,10,0,0,35,3,35,7,7,A,20,48,1,valorar,113028,,,1,Canonical,viajar,78141,Mood,Subjunctive,FCT,D,[–F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,1,1,1,permitir,935997,,,0,Canonical,tomar,506707,Mood,Subjunctive,FCT,A,[+F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,11,3,1,sugerir,88224,,,0,Canonical,prestar,73724,Mood,Subjunctive,FCT,C,[–F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,6,6,0,querer,1263949,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,B,[+F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,16,8,1,desear,148807,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,D,[–F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,2,11,1,pedir,432187,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,A,[+F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,12,13,1,ordenar,65158,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,C,[–F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,7,16,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,B,[+F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,17,18,1,conseguir,129144,,,0,Canonical,robar,28182,Mood,Subjunctive,FCT,D,[–F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,3,21,1,necesitar,593469,,,1,Canonical,tratar,590952,Mood,Subjunctive,FCT,A,[+F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,13,23,1,valorar,113028,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,C,[–F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,8,26,1,permitir,935997,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,B,[+F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,18,28,1,sugerir,88224,,,0,Canonical,atar,15876,Mood,Subjunctive,FCT,D,[–F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,4,31,1,querer,1263949,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,A,[+F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,14,33,1,conseguir,129144,,,0,Canonical,viajar,78141,Mood,Subjunctive,FCT,C,[–F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,9,36,0,necesitar,593469,,,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,B,[+F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,19,38,1,ordenar,65158,,,1,Canonical,prestar,73724,Mood,Subjunctive,FCT,D,[–F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,5,41,1,esperar,1409514,,,1,Canonical,enviar,766523,Mood,Subjunctive,FCT,A,[+F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,15,43,1,desear,148807,,,1,Canonical,robar,28182,Mood,Subjunctive,FCT,C,[–F/+F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,10,46,1,pedir,432187,,,0,Canonical,tratar,590952,Mood,Subjunctive,FCT,B,[+F/–F]
L2L02,40,Female,L2 Learner,L2 Learner,02,18,0,10,0,30,0,26,11,14,B,20,48,1,valorar,113028,,,1,Canonical,viajar,78141,Mood,Subjunctive,FCT,D,[–F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,1,1,1,permitir,935997,,,0,Canonical,tomar,506707,Mood,Subjunctive,FCT,A,[+F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,11,3,1,sugerir,88224,,,0,Canonical,prestar,73724,Mood,Subjunctive,FCT,C,[–F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,6,6,0,querer,1263949,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,B,[+F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,16,8,1,desear,148807,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,D,[–F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,2,11,1,pedir,432187,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,A,[+F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,12,13,1,ordenar,65158,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,C,[–F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,7,16,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,B,[+F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,17,18,1,conseguir,129144,,,0,Canonical,robar,28182,Mood,Subjunctive,FCT,D,[–F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,18,23,1,sugerir,88224,,,0,Canonical,atar,15876,Mood,Subjunctive,FCT,D,[–F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,8,25,1,permitir,935997,,,0,Canonical,quedar,947469,Mood,Subjunctive,FCT,B,[+F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,13,28,0,valorar,113028,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,C,[–F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,3,30,0,necesitar,593469,,,1,Canonical,tratar,590952,Mood,Subjunctive,FCT,A,[+F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,17,33,0,conseguir,129144,,,0,Canonical,robar,28182,Mood,Subjunctive,FCT,D,[–F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,7,35,1,esperar,1409514,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,B,[+F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,12,38,1,ordenar,65158,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,C,[–F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,2,40,1,pedir,432187,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,A,[+F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,16,43,1,desear,148807,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,D,[–F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,6,45,1,querer,1263949,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,B,[+F/–F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,11,48,1,sugerir,88224,,,0,Canonical,prestar,73724,Mood,Subjunctive,FCT,C,[–F/+F]
L2L03,42,Female,L2 Learner,L2 Learner,03,25,9,0,0,30,,36,5,9,A,1,50,1,permitir,935997,,,0,Canonical,tomar,506707,Mood,Subjunctive,FCT,A,[+F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,1,1,1,permitir,935997,,,0,Canonical,tomar,506707,Mood,Subjunctive,FCT,A,[+F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,11,3,1,sugerir,88224,,,0,Canonical,prestar,73724,Mood,Subjunctive,FCT,C,[–F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,6,6,1,querer,1263949,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,B,[+F/–F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,16,8,1,desear,148807,,,1,Canonical,bailar,29935,Mood,Subjunctive,FCT,D,[–F/–F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,2,11,1,pedir,432187,,,0,Canonical,dejar,696519,Mood,Subjunctive,FCT,A,[+F/+F]
L2L04,33,Male,L2 Learner,L2 Learner,04,25,9,0,1.33,37,0,49,14,16,B,12,13,1,ordenar,65158,,,1,Canonical,atar,15876,Mood,Subjunctive,FCT,C,[–F/+F]
