Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,LF,FofA_Std,LF_Main_Std,LF_Sub_Std,LF_Std,LOR_Std,DELE_Std
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,20,3,1,valorar,113028,Regular,Canonical,NA,viajar,78141,Mood,Subjunctive,D,[–F/–F],2,14,191169,-0.9404137617995748,-0.831629750647271,-0.7497568466690692,-0.8745793772752206,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,10,5,1,pedir,432187,Irregular,Canonical,NA,tratar,590952,Mood,Subjunctive,B,[+F/–F],2,14,1023139,-0.9404137617995748,-0.17954760873832823,0.716181424754058,0.2125361378706651,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,15,8,1,desear,148807,Regular,Canonical,NA,robar,28182,Mood,Subjunctive,C,[–F/+F],2,14,176989,-0.9404137617995748,-0.7585287353058265,-0.8925712755756801,-0.8931080477858985,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,5,10,1,esperar,1409514,Regular,Canonical,NA,enviar,766523,Mood,Subjunctive,A,[+F/+F],2,14,2176037,-0.9404137617995748,1.8172548737404404,1.2180744189605588,1.719000677674578,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,19,13,0,ordenar,65158,Regular,Canonical,NA,prestar,73724,Mood,Subjunctive,D,[–F/–F],2,14,138882,-0.9404137617995748,-0.9294342058974162,-0.7623834271146446,-0.9429015630997492,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,9,15,0,necesitar,593469,Regular,Canonical,NA,enviar,766523,Mood,Subjunctive,B,[+F/–F],2,14,1359992,-0.9404137617995748,0.14997188471590023,1.2180744189605588,0.6526939832538364,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,14,18,1,conseguir,129144,Irregular,Canonical,NA,viajar,78141,Mood,Subjunctive,C,[–F/+F],2,14,207285,-0.9404137617995748,-0.7987027274425219,-0.7497568466690692,-0.8535209813690088,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,4,20,0,querer,1263949,Irregular,Canonical,NA,quedar,947469,Mood,Subjunctive,A,[+F/+F],2,14,2211418,-0.9404137617995748,1.5198471961033526,1.7353325636979553,1.7652321932837667,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,3,21,1,necesitar,593469,Regular,Canonical,NA,tratar,590952,Mood,Subjunctive,A,[+F/+F],2,14,1184421,-0.9404137617995748,0.14997188471590023,0.716181424754058,0.4232795114463454,-0.5722600679437538,-0.6906515276205027
L2L01,37,Female,L2 Learner,NA,20,10,0,0,35,3,35,7,7,A,13,23,1,valorar,113028,Regular,Canonical,NA,bailar,29935,Mood,Subjunctive,C,[–F/+F],2,14,142963,-0.9404137617995748,-0.831629750647271,-0.8875600925281153,-0.9375690169534814,-0.5722600679437538,-0.6906515276205027
