Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,21P,2,NA,#08: amar,amar,65158,NA,NA,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,14,NA,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.6795017476940834,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,31P,5,NA,#05: gustar,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,14,-34938,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.5544825372987822,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,26P,7,0,#03: haber,haber,7679109,1017563,4153642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,14,3136079,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,1.3173309395484487,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,36P,10,0,#02: tener,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,14,-264072,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,1.4098270593200208,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,22P,12,0,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,14,9386,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.6755458220183908,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,32P,15,0,#08: amar,amar,80242,5580,14966,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,14,9386,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.6755458220183908,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,27P,17,0,#01: estar,estar,10180830,1173419,2479642,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,14,1306223,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,1.973431598347156,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,37P,20,1,#10: excluir,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,14,-4995,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.6825822504113128,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,23P,22,0,#04: vivir,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,14,-95053,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.5393850317715609,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,33P,25,NA,#07: faltar,faltar,182742,66767,55352,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,14,-11415,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.6486642003160237,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,28P,27,0,#10: excluir,excluir,53412,6569,1574,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,14,-4995,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.6825822504113128,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,38P,30,0,#06: creer,creer,537246,33274,70392,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,14,37118,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.5556920791455267,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,24P,32,0,#05: gustar,gustar,541858,94346,59408,Regular,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,14,-34938,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.5544825372987822,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,34P,35,0,#04: vivir,vivir,599425,225093,130040,Regular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,14,-95053,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,-0.5393850317715609,NA,NA,NA,-0.6829847624437352
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,A,29P,37,0,#02: tener,tener,8031798,2061773,1797701,Irregular,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,14,-264072,-0.7134753104420275,-0.6980823313593423,-0.7138748621791673,NA,-0.29379124332050327,1.4098270593200208,NA,NA,NA,-0.6829847624437352
