Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,40C,2,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Aprendices,Receptiva,14,-4995,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.622918877044574,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,30C,4,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Aprendices,Receptiva,14,3136079,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,1.4580091386905876,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,35C,7,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Aprendices,Receptiva,14,-95053,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.47392085776114296,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,25C,9,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Aprendices,Receptiva,14,9386,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.6155974087693233,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,39C,12,0,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Aprendices,Receptiva,14,37118,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.4908884901087692,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,29C,14,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Aprendices,Receptiva,14,-264072,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,1.5542521996123129,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,34C,17,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Aprendices,Receptiva,14,9386,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.6155974087693233,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,24C,19,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Aprendices,Receptiva,14,-5228,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.6184940686926103,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,23C,22,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Aprendices,Receptiva,14,-11415,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.5876268348515747,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,33C,25,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Aprendices,Receptiva,14,-11415,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.5876268348515747,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,28C,27,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Aprendices,Receptiva,14,37118,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.4908884901087692,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,38C,30,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Aprendices,Receptiva,14,3136079,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,1.4580091386905876,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,24C,32,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Aprendices,Receptiva,14,-5228,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.6184940686926103,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,34C,35,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Aprendices,Receptiva,14,9386,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.6155974087693233,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,29C,37,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Aprendices,Receptiva,14,-264072,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,1.5542521996123129,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,39C,40,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Aprendices,Receptiva,14,37118,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.4908884901087692,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,25C,42,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Aprendices,Receptiva,14,9386,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.6155974087693233,NA,NA,NA,-0.7111391877021401
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,35C,45,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Aprendices,Receptiva,14,-95053,-0.7018249694671335,-0.6736611417200283,-0.7148100152687822,-0.3310363091708821,-0.2620185439147285,-0.47392085776114296,NA,NA,NA,-0.7111391877021401
