Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,15C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Aprendices,Receptiva,14,NA,-0.7118829475684292,-0.6974368638536864,-0.7113259646298212,NA,-0.2880152922305129,-0.9423629014619243,NA,NA,-1.119875083689128,-0.6804149779920643
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Aprendices,Receptiva,14,NA,-0.7118829475684292,-0.6974368638536864,-0.7113259646298212,NA,-0.2880152922305129,-0.9423629014619243,NA,NA,-1.119875083689128,-0.6804149779920643
L2L02,40,Female,L2 Learner,L2 Learner,18,2,10,0,0,30,0,26,Intermediate,Intermediate,11,14,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Aprendices,Receptiva,25,NA,0.36568626917600133,0.09352072741432395,0.6200452178854438,NA,-1.6358327713890906,-0.9423629014619243,NA,NA,-1.1149997356038155,-0.6804149779920643
L2L02,40,Female,L2 Learner,L2 Learner,18,2,10,0,0,30,0,26,Intermediate,Intermediate,11,14,0,B,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Aprendices,Receptiva,25,NA,0.36568626917600133,0.09352072741432395,0.6200452178854438,NA,-1.6358327713890906,-0.9423629014619243,NA,NA,-1.119875083689128,-0.6804149779920643
L2L03,42,Female,L2 Learner,L2 Learner,25,2,9,0,0,30,NA,36,Intermediate,Intermediate,5,9,0,A,15C,8,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,14,NA,-0.7118829475684292,-1.0929156594876916,-0.33093419819688835,NA,-0.13825779454622653,-0.9423629014619243,NA,NA,-1.119875083689128,-0.6804149779920643
L2L03,42,Female,L2 Learner,L2 Learner,25,2,9,0,0,30,NA,36,Intermediate,Intermediate,5,9,0,A,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,14,NA,-0.7118829475684292,-1.0929156594876916,-0.33093419819688835,NA,-0.13825779454622653,-0.9423629014619243,NA,NA,-1.1149997356038155,-0.6804149779920643
L2L04,33,Male,L2 Learner,L2 Learner,25,2,9,0,1.33,37,0,49,Advanced,Native Range,14,16,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Aprendices,Receptiva,30,NA,0.8554904586052878,0.6867389208653317,1.0004369843183767,NA,1.8085896753494966,-0.9423629014619243,NA,NA,-1.1149997356038155,0.4093271607282323
L2L04,33,Male,L2 Learner,L2 Learner,25,2,9,0,1.33,37,0,49,Advanced,Native Range,14,16,0,B,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Aprendices,Receptiva,30,NA,0.8554904586052878,0.6867389208653317,1.0004369843183767,NA,1.8085896753494966,-0.9423629014619243,NA,NA,-1.119875083689128,0.4093271607282323
L2L05,47,Male,L2 Learner,L2 Learner,20,2,14,0,0,31,3,39,Intermediate,Intermediate,10,10,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Aprendices,Receptiva,20,NA,-0.12411792025328526,-0.10421867040267865,-0.14073831498042194,NA,0.31101469850663266,-0.9423629014619243,NA,NA,-1.1149997356038155,-0.6804149779920643
L2L05,47,Male,L2 Learner,L2 Learner,20,2,14,0,0,31,3,39,Intermediate,Intermediate,10,10,0,B,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Aprendices,Receptiva,20,NA,-0.12411792025328526,-0.10421867040267865,-0.14073831498042194,NA,0.31101469850663266,-0.9423629014619243,NA,NA,-1.1149997356038155,-0.6804149779920643
