Participant_ID,Seq_part,Verb,Davies_Rank,Davies_Rating,CORPES_Rank,CORPES_Rating,WordList_Rank,WordList_Rating,Part_Rating,FofU_Comp,FofU_Prod,DELE,AoA_ENG
HSP01,1,atar,30,15876,30,9406,30,385409,2,10,13,45,0
HSP02,2,atar,30,15876,30,9406,30,385409,2,12,13,38,0
HSP03,3,atar,30,15876,30,9406,30,385409,2,21,22,40,3
HSP04,4,atar,30,15876,30,9406,30,385409,0,15,16,40,0
HSP05,5,atar,30,15876,30,9406,30,385409,1,15,12,40,0
HSP06,6,atar,30,15876,30,9406,30,385409,3,20,20,49,0
HSP07,7,atar,30,15876,30,9406,30,385409,0,11,12,39,7
HSP08,8,atar,30,15876,30,9406,30,385409,0,13,11,41,5
HSP09,9,atar,30,15876,30,9406,30,385409,0,12,11,30,0
HSP10,10,atar,30,15876,30,9406,30,385409,0,16,16,43,4
HSP11,11,atar,30,15876,30,9406,30,385409,4,13,13,34,3
HSP12,12,atar,30,15876,30,9406,30,385409,3,19,19,42,7
HSP13,13,atar,30,15876,30,9406,30,385409,0,19,19,42,0
HSP14,14,atar,30,15876,30,9406,30,385409,1,13,16,28,0
HSP15,15,atar,30,15876,30,9406,30,385409,0,11,11,37,0
HSP16,16,atar,30,15876,30,9406,30,385409,9,18,17,31,3
HSP17,17,atar,30,15876,30,9406,30,385409,1,15,15,45,4
HSP18,18,atar,30,15876,30,9406,30,385409,0,16,16,44,4
HSP19,19,atar,30,15876,30,9406,30,385409,2,16,20,30,0
HSP20,20,atar,30,15876,30,9406,30,385409,1,7,6,42,4
HSP21,21,atar,30,15876,30,9406,30,385409,1,12,15,42,0
HSP22,22,atar,30,15876,30,9406,30,385409,1,5,6,32,4
HSP23,23,atar,30,15876,30,9406,30,385409,1,19,20,42,4
HSP24,24,atar,30,15876,30,9406,30,385409,1,16,16,48,5
HSP25,25,atar,30,15876,30,9406,30,385409,1,15,15,42,3
HSP27,27,atar,30,15876,30,9406,30,385409,1,16,14,35,0
HSP28,28,atar,30,15876,30,9406,30,385409,0,8,9,39,3
HSP29,29,atar,30,15876,30,9406,30,385409,1,14,16,25,2
HSP30,30,atar,30,15876,30,9406,30,385409,0,14,16,25,2
HSP31,31,atar,30,15876,30,9406,30,385409,1,12,11,41,4
HSP32,32,atar,30,15876,30,9406,30,385409,,13,13,43,3
HSP33,33,atar,30,15876,30,9406,30,385409,0,15,15,43,0
HSP34,34,atar,30,15876,30,9406,30,385409,5,7,7,42,8
HSP35,35,atar,30,15876,30,9406,30,385409,1,17,17,37,0
HSP36,36,atar,30,15876,30,9406,30,385409,3,9,11,45,0
HSP41,41,atar,30,15876,30,9406,30,385409,0,6,7,39,0
HSP42,42,atar,30,15876,30,9406,30,385409,4,13,13,29,3
HSP45,45,atar,30,15876,30,9406,30,385409,0,14,14,44,4
HSP46,46,atar,30,15876,30,9406,30,385409,3,15,15,35,3
HSP47,47,atar,30,15876,30,9406,30,385409,6,14,11,34,0
HSP48,48,atar,30,15876,30,9406,30,385409,0,11,11,34,4
HSP49,49,atar,30,15876,30,9406,30,385409,3,19,18,49,4
