CODE,Age at time of study,amar,atar,bailar,conseguir,creer,dejar,desear,doler,enviar,esperar,estar,excluir,faltar,gustar,haber,necesitar,ordenar,pedir,permitir,prestar,quedar,querer,robar,sugerir,tener,tomar,tratar,valorar,viajar,vivir
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSP02,20,5,2,7,6,6,5,3,6,7,7,8,2,3,7,7,6,6,6,3,3,3,7,2,1,7,5,5,1,5,4
HSP03,27,7,2,6,6,7,8,6,6,4,6,8,4,5,7,7,7,5,6,6,6,7,7,6,7,7,6,7,5,5,6
HSP04,21,6,0,4,6,6,6,3,6,6,6,6,4,4,8,4,7,3,7,3,7,7,8,4,7,7,7,7,3,7,8
HSP05,20,2,1,1,1,5,5,1,1,1,2,5,1,1,5,5,5,2,5,1,1,1,5,1,1,6,2,1,1,1,3
HSP06,26,3,3,5,4,8,8,6,8,8,8,8,4,8,9,9,8,6,8,7,5,8,8,5,4,8,8,6,3,8,6
HSP07,39,6,0,6,6,6,6,5,7,7,7,7,2,6,9,6,8,8,8,6,8,6,9,6,2,8,8,7,2,7,8
HSP08,25,4,0,2,2,5,2,1,1,1,1,4,1,1,3,4,3,1,2,1,2,2,4,1,1,2,2,1,1,1,1
HSP09,23,5,0,5,3,5,5,5,5,3,5,8,1,5,8,7,6,3,4,3,2,3,8,2,1,8,8,4,2,5,8
HSP10,31,7,0,7,9,9,9,7,9,6,9,9,4,9,9,9,9,7,9,6,6,9,9,5,4,9,9,9,4,5,7
HSP11,20,4,4,9,9,9,9,4,9,4,9,9,4,4,8,8,9,9,9,9,9,9,9,4,4,9,3,9,2,7,9
HSP12,18,7,3,5,8,6,8,6,7,7,7,9,5,7,9,9,9,9,9,8,7,9,9,3,5,7,6,6,8,6,6
HSP13,27,7,0,4,6,6,6,4,4,4,5,7,3,4,6,6,7,4,4,4,4,4,6,4,0,7,6,7,4,4,5
HSP14,20,3,1,3,4,5,4,4,2,4,5,6,2,2,4,2,5,2,2,3,2,3,5,1,3,6,6,6,3,2,5
HSP15,21,1,0,4,3,4,3,0,3,2,5,7,0,2,6,3,4,4,0,0,1,1,4,0,0,4,1,1,0,2,2
HSP16,21,9,9,9,9,9,9,9,9,9,9,9,7,9,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,9,9
HSP17,22,4,1,3,5,6,6,5,4,3,6,8,2,3,5,6,5,4,4,3,3,3,7,2,2,7,8,4,2,2,2
HSP18,30,2,0,3,4,7,6,2,6,3,6,3,1,3,8,7,5,3,4,2,2,5,7,3,2,7,6,4,1,4,4
HSP19,22,4,2,,5,4,4,4,4,3,4,6,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
HSP20,23,3,1,4,4,5,5,4,5,5,5,5,3,4,4,5,5,4,3,3,3,3,4,2,2,5,5,5,1,2,3
HSP21,18,6,1,5,7,9,6,4,5,3,6,9,2,3,9,9,8,5,6,6,5,5,9,5,4,7,9,6,1,3,4
HSP22,32,2,1,3,5,5,5,1,4,5,5,6,4,5,5,5,5,4,5,4,4,3,5,2,2,6,7,5,5,3,5
HSP23,32,7,1,3,2,3,4,1,3,4,3,7,1,2,4,1,3,2,3,2,2,2,4,0,1,6,3,2,2,4,4
HSP24,28,4,1,2,6,6,5,3,5,5,4,7,1,3,5,5,5,4,4,1,2,,4,1,1,7,5,5,2,3,3
HSP25,20,7,1,6,5,6,7,4,6,6,6,8,5,6,8,9,7,5,5,4,5,6,8,3,3,8,8,6,4,5,7
HSP26,26,9,2,6,6,7,7,6,3,5,6,9,2,5,9,9,7,3,6,5,4,7,8,2,2,9,9,6,1,5,6
HSP27,25,9,1,5,9,9,9,5,9,9,9,9,1,9,9,9,9,9,9,9,2,9,9,1,1,9,9,9,4,4,9
HSP28,28,4,0,3,4,3,5,3,4,3,5,6,1,3,6,6,6,6,6,4,4,6,6,2,1,7,7,7,2,4,5
HSP29,25,4,1,5,7,7,8,6,4,6,7,8,4,7,8,8,5,8,7,4,5,8,8,4,3,8,7,8,3,5,4
HSP30,20,6,0,6,7,7,8,2,5,1,6,9,5,5,7,5,4,2,4,6,7,6,5,4,2,6,5,4,2,2,5
HSP31,20,6,1,8,9,9,9,9,8,8,9,9,7,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,6,9
HSP32,25,5,,3,5,5,5,3,5,1,3,4,1,3,4,5,5,1,5,1,1,4,5,2,1,6,6,4,1,3,5
HSP33,26,5,0,3,5,5,4,4,9,1,4,5,1,2,5,6,6,4,6,2,3,3,6,1,2,7,8,4,1,2,2
HSP34,22,7,5,5,6,6,6,6,7,8,7,7,3,6,6,8,7,8,7,7,7,6,8,3,7,8,8,7,7,7,7
HSP35,25,7,1,5,9,9,9,7,7,9,9,9,5,8,9,9,8,8,8,6,7,8,9,4,7,9,9,8,5,6,7
HSP36,46,3,3,4,4,3,3,4,2,2,3,2,1,2,2,3,2,4,3,2,2,2,1,2,2,3,3,2,2,3,1
HSP37,50,2,3,3,4,5,2,2,4,0,6,7,0,3,7,0,6,1,1,1,4,1,6,0,0,7,5,1,0,1,1
HSP38,21,4,3,5,6,6,3,3,4,4,4,7,2,3,7,7,2,4,5,2,2,3,4,2,2,3,3,2,1,3,5
HSP40,20,5,1,4,9,9,7,7,7,7,8,9,4,4,6,9,7,7,7,7,6,8,8,3,5,9,6,8,7,3,6
HSP41,18,1,0,2,2,4,4,1,2,2,4,7,1,2,3,7,7,5,3,2,2,6,6,2,2,8,3,2,2,2,4
HSP42,26,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,2,4
HSP44,20,6,5,6,6,7,6,6,6,6,7,7,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
HSP45,20,2,0,2,5,5,5,4,4,4,5,6,3,5,6,6,4,3,4,3,2,5,5,2,3,5,5,5,2,2,2
HSP46,23,6,3,7,7,7,5,5,6,3,6,8,4,6,8,8,7,6,6,5,6,5,7,3,4,7,8,7,6,6,7
HSP47,20,6,6,4,5,6,6,3,5,3,6,9,3,4,7,6,7,7,7,6,6,7,7,4,3,9,9,8,6,5,6
HSP48,22,2,0,1,4,5,5,2,4,2,4,6,1,2,3,4,5,3,4,3,4,3,4,2,1,5,4,5,2,3,2
HSP49,18,6,3,5,8,8,8,3,8,6,6,9,6,6,8,5,8,4,8,7,9,6,5,8,5,9,8,5,3,5,8
HSP50,20,6,5,4,5,6,7,6,6,5,6,7,5,7,7,8,7,5,6,4,5,7,7,5,6,7,6,6,4,5,5
HSP51,21,1,0,3,5,5,6,2,3,4,5,8,2,2,5,9,4,5,8,3,6,3,6,3,1,8,8,5,2,7,7
HSP52,21,3,1,5,4,6,6,3,4,6,4,8,1,2,7,7,5,2,4,3,2,5,7,1,2,6,3,2,1,4,4
HSP53,19,5,2,4,4,5,5,4,6,4,6,9,4,6,9,9,9,6,6,6,5,6,9,5,4,8,9,6,5,4,4
HSP54,21,7,6,7,8,7,8,8,9,9,7,7,7,8,9,7,9,9,9,6,6,6,7,7,5,8,7,7,7,7,8
