Item,Mean_Frequency,Lemma,type
amar,4.973684210526316,NA,NA
atar,1.5263157894736843,NA,NA
bailar,4.421052631578948,NA,NA
conseguir,5.5,NA,NA
creer,6.131578947368421,NA,NA
dejar,5.947368421052632,NA,NA
desear,4,NA,NA
doler,5.342105263157895,NA,NA
enviar,4.473684210526316,NA,NA
esperar,5.7368421052631575,NA,NA
estar,7.157894736842105,NA,NA
excluir,2.9210526315789473,NA,NA
faltar,4.394736842105263,NA,NA
gustar,6.421052631578948,NA,NA
haber,6.2368421052631575,NA,NA
necesitar,6.2368421052631575,NA,NA
ordenar,5.052631578947368,NA,NA
pedir,5.5,NA,NA
permitir,4.368421052631579,NA,NA
prestar,4.5,NA,NA
quedar,5.2368421052631575,NA,NA
querer,6.526315789473684,NA,NA
robar,2.9210526315789473,NA,NA
sugerir,3.1052631578947367,NA,NA
tener,6.842105263157895,NA,NA
tomar,6.078947368421052,NA,NA
tratar,5.657894736842105,NA,NA
valorar,3.1842105263157894,NA,NA
viajar,4.105263157894737,NA,NA
vivir,5.105263157894737,NA,NA
