Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,43,NA,1.6951252403832933,1.5877725606766153,1.7565725280044768,-0.7099551205117426,-0.08193758844166843,-0.9818317692115763,NA,NA,0.31730841184620195,-0.638789646121196
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,43,NA,1.6951252403832933,1.5877725606766153,1.7565725280044768,-0.7099551205117426,-0.08193758844166843,-0.9818317692115763,NA,NA,-1.0878823423381627,-0.638789646121196
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,23,NA,-0.5671056916004119,-0.6935354864753197,-0.43192302204859784,1.8228577418544742,-0.2873840418137931,-0.9818317692115763,NA,NA,0.31730841184620195,2.0868482441149063
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,23,NA,-0.5671056916004119,-0.6935354864753197,-0.43192302204859784,1.8228577418544742,-0.2873840418137931,-0.9818317692115763,NA,NA,-1.0878823423381627,2.0868482441149063
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,24,NA,-0.4539941450012267,-0.23727387704493264,-0.6507725770539053,0.5564513106713659,0.12350886493045626,-0.9818317692115763,NA,NA,0.31730841184620195,1.3080945611903059
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,18P,28,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,24,NA,-0.4539941450012267,-0.23727387704493264,-0.6507725770539053,0.5564513106713659,0.12350886493045626,-0.9818317692115763,NA,NA,-1.0878823423381627,1.3080945611903059
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,32,NA,0.4508982277922554,0.44711853710064786,0.443475197972632,-0.07675190492018832,0.5344017716747056,-0.9818317692115763,NA,NA,0.31730841184620195,-0.638789646121196
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,18P,28,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,32,NA,0.4508982277922554,0.44711853710064786,0.443475197972632,-0.07675190492018832,0.5344017716747056,-0.9818317692115763,NA,NA,-1.0878823423381627,-0.638789646121196
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,38,NA,1.129567507387367,1.1315109512462285,1.1000238629885544,1.8228577418544742,0.32895531830258096,-0.9818317692115763,NA,NA,0.31730841184620195,-0.638789646121196
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,38,NA,1.129567507387367,1.1315109512462285,1.1000238629885544,1.8228577418544742,0.32895531830258096,-0.9818317692115763,NA,NA,-1.0878823423381627,-0.638789646121196
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,35,NA,0.7902328675898111,0.9033801465310349,0.6623247529779395,-0.7099551205117426,-1.9309556687907907,-0.9818317692115763,NA,NA,0.31730841184620195,-0.50912715791425
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,18P,28,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,35,NA,0.7902328675898111,0.9033801465310349,0.6623247529779395,-0.7099551205117426,-1.9309556687907907,-0.9818317692115763,NA,NA,-1.0878823423381627,-0.50912715791425
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,11P,3,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,30,NA,0.22467513459388488,0.21898773238545438,0.22462564296732457,-0.07675190492018832,0.945294678418955,-0.9818317692115763,NA,NA,0.31730841184620195,-0.638789646121196
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,18P,28,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,30,NA,0.22467513459388488,0.21898773238545438,0.22462564296732457,-0.07675190492018832,0.945294678418955,-0.9818317692115763,NA,NA,-1.0878823423381627,-0.638789646121196
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,32,NA,0.4508982277922554,0.44711853710064786,0.443475197972632,-0.07675190492018832,0.7398482250468303,-0.9818317692115763,NA,NA,0.31730841184620195,1.1757064350931237
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,32,NA,0.4508982277922554,0.44711853710064786,0.443475197972632,-0.07675190492018832,0.7398482250468303,-0.9818317692115763,NA,NA,-1.0878823423381627,1.1757064350931237
HSP20,62,Female,Heritage,Sequential,23,2,0,4,0.25,35,2,42,Advanced,Advanced,7,6,0,B,11P,48,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,13,NA,-1.6982211575922646,-1.6060587053360937,-1.7450203520804426,-0.07675190492018832,0.32895531830258096,-0.9818317692115763,NA,NA,0.31730841184620195,-0.541445435755621
HSP20,62,Female,Heritage,Sequential,23,2,0,4,0.25,35,2,42,Advanced,Advanced,7,6,0,B,18P,23,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,13,NA,-1.6982211575922646,-1.6060587053360937,-1.7450203520804426,-0.07675190492018832,0.32895531830258096,-0.9818317692115763,NA,NA,-1.0878823423381627,-0.541445435755621
HSP22,90,Female,Heritage,Sequential,32,2,0,4,3,14,0,32,Intermediate,Intermediate,5,6,0,B,11P,48,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,11,NA,-1.924444250790635,-2.0623203147664806,-1.7450203520804426,-0.07675190492018832,-1.725509215418666,-0.9818317692115763,NA,NA,0.31730841184620195,0.5293408782657051
HSP22,90,Female,Heritage,Sequential,32,2,0,4,3,14,0,32,Intermediate,Intermediate,5,6,0,B,18P,23,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,11,NA,-1.924444250790635,-2.0623203147664806,-1.7450203520804426,-0.07675190492018832,-1.725509215418666,-0.9818317692115763,NA,NA,-1.0878823423381627,0.5293408782657051
HSP23,66,Female,Heritage,Sequential,32,2,0,4,1,40,10,42,Advanced,Advanced,19,20,0,A,11P,3,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,39,NA,1.2426790539865522,1.1315109512462285,1.318873417993862,-0.07675190492018832,0.32895531830258096,-0.9818317692115763,NA,NA,0.31730841184620195,-0.2494128046588957
HSP23,66,Female,Heritage,Sequential,32,2,0,4,1,40,10,42,Advanced,Advanced,19,20,0,A,18P,28,NA,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,39,NA,1.2426790539865522,1.1315109512462285,1.318873417993862,-0.07675190492018832,0.32895531830258096,-0.9818317692115763,NA,NA,-1.0878823423381627,-0.2494128046588957
HSP24,70,Female,Heritage,Sequential,28,2,0,5,4.5,40,3,48,Advanced,Native Range,16,16,0,B,11P,48,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,32,NA,0.4508982277922554,0.44711853710064786,0.443475197972632,0.5564513106713659,1.5616340385353291,-0.9818317692115763,NA,NA,0.31730841184620195,1.1134061404591555
