Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,21C,2,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-95053,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,-0.47652137957685564,-0.4355531771203803,-0.28662812757339956,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,26C,7,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,-4995,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,-0.6223676951421798,-0.2926010822102542,-0.6148142720602509,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,37C,10,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,1306223,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,2.0827814523871724,1.7887393870858168,1.1375973746901398,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,22C,12,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-34938,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,-0.49189818351403114,-0.34013061404411576,-0.48298804151064373,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,27C,17,0,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,1306223,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,2.0827814523871724,1.7887393870858168,1.1375973746901398,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,36C,20,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,-264072,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,1.5087504325543484,-0.7038427252961624,2.4717550608000054,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,23C,22,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-11415,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,-0.5878221733467951,-0.3027917643187067,-0.5244070420726089,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,28C,27,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Herencia,Receptiva,43,37118,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,-0.4931301014489288,-0.22575369971286216,-0.5747078719004453,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,38C,30,1,#05: gustar,gustar,541858,94346,59408,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Herencia,Receptiva,43,-34938,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,-0.49189818351403114,-0.34013061404411576,-0.48298804151064373,NA,-0.6640591117011346
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,24C,32,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Herencia,Receptiva,43,-5228,1.6722919593387204,1.5593054026920843,1.750934669708179,-0.7292195890564008,-0.0894262771291464,-0.6180364832353356,-0.2929709309534426,-0.6071414168490002,NA,-0.6640591117011346
