Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,43,NA,1.6598294850582023,1.5490942510329295,1.7367988545767603,-0.7255744632696582,-0.09640223407299549,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,43,NA,1.6598294850582023,1.5490942510329295,1.7367988545767603,-0.7255744632696582,-0.09640223407299549,-0.9347510015736354,NA,NA,-1.0762188225872056,-0.6545453545547966
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,23,NA,-0.6116373744385186,-0.7144014981052869,-0.49823595436696944,1.7802623871117182,-0.29950608620114516,-0.9347510015736354,NA,NA,-1.0713019758766358,2.039715558731895
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,23,NA,-0.6116373744385186,-0.7144014981052869,-0.49823595436696944,1.7802623871117182,-0.29950608620114516,-0.9347510015736354,NA,NA,-1.0762188225872056,2.039715558731895
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,15C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,24,NA,-0.4980640314636826,-0.26170234827764355,-0.7217394352613424,0.52734396192103,0.10670161805515416,-0.9347510015736354,NA,NA,-1.0762188225872056,1.2699267263642688
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,24,NA,-0.4980640314636826,-0.26170234827764355,-0.7217394352613424,0.52734396192103,0.10670161805515416,-0.9347510015736354,NA,NA,-1.0713019758766358,1.2699267263642688
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,15C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,32,NA,0.41052271233500576,0.41734637646382133,0.3957779692105225,-0.09911525067431413,0.5129093223114535,-0.9347510015736354,NA,NA,-1.0762188225872056,-0.6545453545547966
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,32,NA,0.41052271233500576,0.41734637646382133,0.3957779692105225,-0.09911525067431413,0.5129093223114535,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,38,NA,1.091962770184022,1.0963951012052862,1.0662884118936415,1.7802623871117182,0.3098054701833038,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,38,NA,1.091962770184022,1.0963951012052862,1.0662884118936415,1.7802623871117182,0.3098054701833038,-0.9347510015736354,NA,NA,-1.0762188225872056,-0.6545453545547966
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,15C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,35,NA,0.751242741259514,0.8700455262914646,0.6192814501048954,-0.7255744632696582,-1.9243369032263422,-0.9347510015736354,NA,NA,-1.0762188225872056,-0.5263755139655868
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,35,NA,0.751242741259514,0.8700455262914646,0.6192814501048954,-0.7255744632696582,-1.9243369032263422,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.5263755139655868
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,15C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,30,NA,0.18337602638533368,0.19099680154999968,0.1722744883161495,-0.09911525067431413,0.9191170265677527,-0.9347510015736354,NA,NA,-1.0762188225872056,-0.6545453545547966
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,30,NA,0.18337602638533368,0.19099680154999968,0.1722744883161495,-0.09911525067431413,0.9191170265677527,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,32,NA,0.41052271233500576,0.41734637646382133,0.3957779692105225,-0.09911525067431413,0.7160131744396031,-0.9347510015736354,NA,NA,-1.0713019758766358,1.1390626248617723
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,32,NA,0.41052271233500576,0.41734637646382133,0.3957779692105225,-0.09911525067431413,0.7160131744396031,-0.9347510015736354,NA,NA,-1.0762188225872056,1.1390626248617723
HSP20,62,Female,Heritage,Sequential,23,2,0,4,0.25,35,2,42,Advanced,Advanced,7,6,0,B,16C,8,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,13,NA,-1.7473708041868792,-1.6197997977605734,-1.8392568397332074,-0.09911525067431413,0.3098054701833038,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.5583217505088433
HSP22,90,Female,Heritage,Sequential,32,2,0,4,3,14,0,32,Intermediate,Intermediate,5,6,0,B,16C,8,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,11,NA,-1.9745174901365512,-2.0724989475882167,-1.8392568397332074,-0.09911525067431413,-1.7212330510981926,-0.9347510015736354,NA,NA,-1.0713019758766358,0.5001378939966427
HSP22,90,Female,Heritage,Sequential,32,2,0,4,3,14,0,32,Intermediate,Intermediate,5,6,0,B,15C,43,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,11,NA,-1.9745174901365512,-2.0724989475882167,-1.8392568397332074,-0.09911525067431413,-1.7212330510981926,-0.9347510015736354,NA,NA,-1.0762188225872056,0.5001378939966427
HSP23,66,Female,Heritage,Sequential,32,2,0,4,1,40,10,42,Advanced,Advanced,19,20,0,A,15C,8,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,39,NA,1.205536113158858,1.0963951012052862,1.2897918927880145,-0.09911525067431413,0.3098054701833038,-0.9347510015736354,NA,NA,-1.0762188225872056,-0.2696509383709835
HSP23,66,Female,Heritage,Sequential,32,2,0,4,1,40,10,42,Advanced,Advanced,19,20,0,A,16C,43,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,39,NA,1.205536113158858,1.0963951012052862,1.2897918927880145,-0.09911525067431413,0.3098054701833038,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.2696509383709835
HSP24,70,Female,Heritage,Sequential,28,2,0,5,4.5,40,3,48,Advanced,Native Range,16,16,0,B,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,32,NA,0.41052271233500576,0.41734637646382133,0.3957779692105225,0.52734396192103,1.5284285829522017,-0.9347510015736354,NA,NA,-1.0713019758766358,1.0774795182723622
HSP24,70,Female,Heritage,Sequential,28,2,0,5,4.5,40,3,48,Advanced,Native Range,16,16,0,B,15C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Herencia,Receptiva,32,NA,0.41052271233500576,0.41734637646382133,0.3957779692105225,0.52734396192103,1.5284285829522017,-0.9347510015736354,NA,NA,-1.0762188225872056,1.0774795182723622
HSP25,73,Female,Heritage,Sequential,20,2,0,3,0,40,5,42,Advanced,Advanced,15,15,0,A,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,30,NA,0.18337602638533368,0.19099680154999968,0.1722744883161495,-0.7255744632696582,0.3098054701833038,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP25,73,Female,Heritage,Sequential,20,2,0,3,0,40,5,42,Advanced,Advanced,15,15,0,A,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,30,NA,0.18337602638533368,0.19099680154999968,0.1722744883161495,-0.7255744632696582,0.3098054701833038,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP27,78,Female,Heritage,Sequential,25,2,0,3,0,40,5,43,Advanced,Advanced,18,17,0,A,16C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,35,NA,0.751242741259514,0.8700455262914646,0.6192814501048954,-0.7255744632696582,0.5129093223114535,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP27,78,Female,Heritage,Sequential,25,2,0,3,0,40,5,43,Advanced,Advanced,18,17,0,A,16C,43,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,35,NA,0.751242741259514,0.8700455262914646,0.6192814501048954,-0.7255744632696582,0.5129093223114535,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
HSP29,81,Female,Heritage,Sequential,25,2,0,3,1,26,3,39,Intermediate,Intermediate,8,9,0,A,15C,8,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,C,[–F/+F],Comparación,Receptiva,17,NA,-1.293077432287535,-1.3934502228467518,-1.1687463970500884,-0.7255744632696582,-0.29950608620114516,-0.9347510015736354,NA,NA,-1.0762188225872056,-0.2696509383709835
HSP29,81,Female,Heritage,Sequential,25,2,0,3,1,26,3,39,Intermediate,Intermediate,8,9,0,A,16C,43,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Comparación,Receptiva,17,NA,-1.293077432287535,-1.3934502228467518,-1.1687463970500884,-0.7255744632696582,-0.29950608620114516,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.2696509383709835
HSP31,83,Female,Heritage,Sequential,20,2,0,4,0,38,5,41,Advanced,Advanced,12,11,0,A,16C,8,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#08: bailar,29935,Mood,Subjunctive,MPST,Interpretation,Infrequent,NA,D,[–F/–F],Herencia,Receptiva,23,NA,-0.6116373744385186,-0.4880519231914652,-0.7217394352613424,-0.09911525067431413,0.10670161805515416,-0.9347510015736354,NA,NA,-1.0713019758766358,-0.6545453545547966
